"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0E820","2020-04-10 00:00:00","220.000","210.000","0.600","14.400","0.940","992.700","","0.000","-99.000","-99.000","-99.000","24.200","","14.400",""
"C0A530","2020-04-10 00:00:00","300.000","30.000","1.800","13.700","0.990","986.000","","0.500","-99.000","-99.000","-99.000","21.300","","13.700",""
"C0M520","2020-04-10 00:00:00","15.000","30.000","0.800","19.100","0.870","1015.600","","0.000","-99.000","-99.000","-99.000","25.800","","17.700",""
"C0K240","2020-04-10 00:00:00","1132.000","146.000","2.000","15.600","0.990","896.100","","0.000","-99.000","-99.000","-99.000","22.700","","14.800",""
"C0V210","2020-04-10 00:00:00","734.000","54.000","1.300","17.400","0.870","936.900","","0.000","-99.000","-99.000","-99.000","27.100","","16.800",""
"C0Z320","2020-04-10 00:00:00","646.000","293.000","1.000","13.500","1.000","947.400","","6.000","-99.000","-99.000","-99.000","18.700","","13.300",""
"C0R600","2020-04-10 00:00:00","766.000","43.000","1.300","18.200","0.950","931.600","","0.000","-99.000","-99.000","-99.000","23.100","","17.800",""
"C0C650","2020-04-10 00:00:00","208.000","64.000","1.800","17.100","0.740","994.300","","0.000","-99.000","-99.000","-99.000","21.000","","16.000",""
"C0F9I0","2020-04-10 00:00:00","194.000","88.000","0.300","19.000","0.800","994.600","","0.000","-99.000","-99.000","-99.000","25.700","","17.300",""
"C0T820","2020-04-10 00:00:00","550.000","0.000","0.000","16.100","0.840","962.000","","0.000","-99.000","-99.000","-99.000","22.400","","16.100",""
"C0S890","2020-04-10 00:00:00","238.000","33.000","0.300","17.600","0.890","996.300","","0.000","-99.000","-99.000","-99.000","21.800","","17.600",""
"C0G840","2020-04-10 00:00:00","32.000","0.000","0.000","18.000","0.920","1013.100","","0.000","-99.000","-99.000","-99.000","26.400","","17.400",""
"C0V710","2020-04-10 00:00:00","34.000","29.000","1.100","23.200","0.720","1013.400","","0.000","-99.000","-99.000","-99.000","27.000","","20.400",""
"C0X140","2020-04-10 00:00:00","17.000","0.000","0.000","20.400","0.880","1015.700","","0.000","-99.000","-99.000","-99.000","28.000","","19.100",""
"C0C680","2020-04-10 00:00:00","228.000","98.000","3.100","17.400","0.760","991.200","","0.500","-99.000","-99.000","-99.000","21.200","","15.600",""
"C0D360","2020-04-10 00:00:00","523.000","0.000","0.000","14.300","0.930","957.400","","1.000","-99.000","-99.000","-99.000","20.700","","13.900",""
"C0C710","2020-04-10 00:00:00","143.000","140.000","1.000","16.400","0.880","1002.900","","0.000","-99.000","-99.000","-99.000","22.800","","16.200",""
"C0Z190","2020-04-10 00:00:00","62.000","329.000","1.100","19.100","0.800","1013.500","","0.000","-99.000","-99.000","-99.000","21.900","","18.800",""
"C0Z020","2020-04-10 00:00:00","211.000","22.000","2.900","17.000","0.990","995.500","","0.500","-99.000","-99.000","-99.000","20.400","","16.800",""
"C0I380","2020-04-10 00:00:00","258.000","0.000","0.000","18.700","0.900","987.300","","0.000","-99.000","-99.000","-99.000","26.700","","18.000",""
"C0D560","2020-04-10 00:00:00","147.000","65.000","1.900","17.700","0.750","1001.600","","0.000","-99.000","-99.000","-99.000","25.000","","17.500",""
"C0Z220","2020-04-10 00:00:00","589.000","259.000","1.600","14.300","0.850","955.500","","0.500","-99.000","-99.000","-99.000","20.300","","14.100",""
"C0R220","2020-04-10 00:00:00","23.000","78.000","1.000","21.900","1.000","1015.300","","0.000","-99.000","-99.000","-99.000","28.100","","20.800",""
"C0A870","2020-04-10 00:00:00","685.000","98.000","7.400","14.200","0.980","940.000","","2.500","-99.000","-99.000","-99.000","17.000","","12.200",""
"C0V670","2020-04-10 00:00:00","20.000","3.000","1.300","21.900","0.810","1015.300","","0.000","-99.000","-99.000","-99.000","27.300","","20.000",""
"C0G770","2020-04-10 00:00:00","15.000","24.000","0.500","20.300","0.740","1015.800","","0.000","-99.000","-99.000","-99.000","25.900","","19.500",""
"C0C540","2020-04-10 00:00:00","46.000","71.000","3.100","19.000","0.700","1013.600","","0.000","-99.000","-99.000","-99.000","23.800","","17.600",""
"C0F9O0","2020-04-10 00:00:00","175.000","0.000","0.000","19.700","0.780","997.200","","0.000","-99.000","-99.000","-99.000","27.800","","18.300",""
"C0Z230","2020-04-10 00:00:00","31.000","306.000","6.900","19.500","0.580","1018.000","","0.000","-99.000","-99.000","-99.000","23.200","","19.300",""
"C0U900","2020-04-10 00:00:00","63.000","224.000","2.300","17.900","0.930","1015.000","","0.000","-99.000","-99.000","-99.000","22.300","","17.900",""
"C0X200","2020-04-10 00:00:00","61.000","0.000","0.000","18.600","0.990","1010.600","","0.000","-99.000","-99.000","-99.000","27.300","","17.600",""
"C0G640","2020-04-10 00:00:00","17.000","0.000","0.000","17.700","0.850","1018.300","","0.000","-99.000","-99.000","-99.000","25.100","","17.700",""
"C0Z080","2020-04-10 00:00:00","298.000","0.000","0.000","16.400","0.830","986.300","","0.000","-99.000","-99.000","-99.000","23.300","","16.000",""
"C0U770","2020-04-10 00:00:00","5.000","303.000","3.700","19.200","0.600","1020.700","","0.000","-99.000","-99.000","-99.000","23.000","","18.600",""
"C0Z210","2020-04-10 00:00:00","126.000","0.000","0.100","17.000","0.990","1007.700","","0.000","-99.000","-99.000","-99.000","21.500","","17.000",""
"C0V690","2020-04-10 00:00:00","30.000","37.000","1.000","22.100","0.800","1014.700","","0.000","-99.000","-99.000","-99.000","26.800","","20.500",""
"C0M690","2020-04-10 00:00:00","33.000","0.000","0.000","19.500","0.920","1013.100","","0.000","-99.000","-99.000","-99.000","26.300","","17.800",""
"C0R440","2020-04-10 00:00:00","1679.000","53.000","5.600","9.300","0.940","837.900","","0.000","-99.000","-99.000","-99.000","15.900","","9.200",""
"C0F970","2020-04-10 00:00:00","145.000","100.000","1.500","18.700","0.780","1000.000","","0.000","-99.000","-99.000","-99.000","27.100","","18.600",""
"C0C490","2020-04-10 00:00:00","157.000","90.000","2.000","18.900","0.680","1000.300","","0.000","-99.000","-99.000","-99.000","24.000","","17.300",""
"C0X160","2020-04-10 00:00:00","26.000","7.000","0.700","21.300","0.970","1014.500","","0.000","-99.000","-99.000","-99.000","27.800","","19.300",""
"C0S760","2020-04-10 00:00:00","1621.000","356.000","1.400","8.900","1.000","843.500","","0.500","-99.000","-99.000","-99.000","13.800","","7.500",""
"C0O830","2020-04-10 00:00:00","127.000","117.000","0.300","19.100","0.990","1003.700","","0.000","-99.000","-99.000","-99.000","30.100","","17.900",""
"C0A9A0","2020-04-10 00:00:00","24.000","105.000","2.500","18.900","0.810","1017.300","","1.500","-99.000","-99.000","-99.000","22.800","","17.100",""
"C0AD50","2020-04-10 00:00:00","84.000","80.000","7.500","19.900","0.760","1009.500","","0.000","12.600","94.000","","22.700","","17.300",""
"C0G620","2020-04-10 00:00:00","110.000","274.000","1.600","17.700","0.920","1004.500","","0.000","-99.000","-99.000","-99.000","29.500","","17.200",""
"C0V310","2020-04-10 00:00:00","46.000","297.000","0.300","21.100","0.850","1011.800","","0.000","-99.000","-99.000","-99.000","30.000","","19.500",""
"C0X110","2020-04-10 00:00:00","20.000","45.000","0.800","21.300","0.910","1015.900","","0.000","-99.000","-99.000","-99.000","27.100","","19.700",""
"C0S980","2020-04-10 00:00:00","901.000","287.000","1.900","14.300","0.880","918.800","","1.000","-99.000","-99.000","-99.000","19.000","","13.900",""
"C0R320","2020-04-10 00:00:00","7.000","64.000","10.600","22.600","0.630","1016.800","","0.000","-99.000","-99.000","-99.000","28.900","","19.300",""
"C0O860","2020-04-10 00:00:00","38.000","0.000","0.000","19.600","0.990","1012.900","","0.000","-99.000","-99.000","-99.000","28.200","","18.400",""
"C0U950","2020-04-10 00:00:00","1012.000","94.000","6.900","12.200","1.000","907.900","","0.500","-99.000","-99.000","-99.000","15.300","","10.200",""
"C0R260","2020-04-10 00:00:00","76.000","67.000","1.500","23.500","0.510","1008.400","","0.000","-99.000","-99.000","-99.000","30.000","","19.800",""
"C0G880","2020-04-10 00:00:00","92.000","116.000","0.700","19.400","0.860","1007.000","","0.000","-99.000","-99.000","-99.000","27.000","","18.300",""
